pares tiempo_ms resultado
10000 0.441382 1.4936482656
100000 4.328210 1.4936482656
1000000 44.094390 1.4936482656
10000000 440.039558 1.4936482656
50000000 2217.688235 1.4936482656
100000000 3739.980667 1.4936482656
