pares tiempo_ms resultado
10000 12.603468 1.4936482656
100000 8.675501 1.4936482656
1000000 29.197928 1.4936482656
10000000 266.769101 1.4936482656
50000000 1353.618629 1.4936482656
100000000 2762.987131 1.4936482656
